field_id,idx,col_letter,section,field_name,note,denominator,source,input_type,formula_type,is_backend
f002,2,B,Thematic areas aligned with GOI mandates of TB Elimination Strategies,Name of State,,,,location,,FALSE
f003,3,C,Thematic areas aligned with GOI mandates of TB Elimination Strategies,Name of District,,,,location,,FALSE
f004,4,D,Demographic profile,Name of Block,,,,location,,FALSE
f005,5,E,Demographic profile,Population of the block (2024),,,,numeric,,FALSE
f006,6,F,Demographic profile,Population of the block (2025),,,,numeric,,FALSE
f007,7,G,Demographic profile,Population of the block (2026),,,,numeric,,FALSE
f008,8,H,Demographic profile,Population <14years,,,,numeric,,FALSE
f009,9,I,Demographic profile,Population >14years,,,,numeric,,FALSE
f010,10,J,Demographic profile,Total Male population,,,,numeric,,FALSE
f011,11,K,Demographic profile,Total Female Population,,,,numeric,,FALSE
f012,12,L,Demographic profile,Urban population (2026),,,,numeric,,FALSE
f013,13,M,Demographic profile,Total number of City Corporation+ City municipal Council+ Town Municipal Council+ Town Panchayat+ Notified Area Committee+ Contonement Board,,,Directorate of Municipal administration/ District Urban Development Board or Cell/ swachh Bharat Mission (sbmurban.org) (data.opencity.in),numeric,,FALSE
f014,14,N,Demographic profile,Total Number of Wards,,,,numeric,,FALSE
f015,15,O,Demographic profile,Rural population (2026),,,,numeric,,FALSE
f016,16,P,Demographic profile,Total number of Gram Panchayats,,,,numeric,,FALSE
f017,17,Q,Demographic profile,Total Number of Villages,,,,numeric,,FALSE
f018,18,R,Demographic profile,Tribal population (2026),,,,numeric,,FALSE
f019,19,S,Demographic profile,Total number of Tribal Settelements/ Colonies,,,,numeric,,FALSE
f020,20,T,Demographic profile,Is it a notified Tribal Block? (Yes/ No),,,,yesno,,FALSE
f021,21,U,Demographic profile,Predominant Type (Agricultural/ Industrial),,,,text,,FALSE
f022,22,V,Demographic profile,Total number of HRV/ Ward,,,,numeric,,FALSE
f023,23,W,Demographic profile,Total population of HRV/ Ward (>14 years),,,Total population - estimated children popularion < 15years (Based on the proportion of children <15 years from Census data or NFHS 6 data),numeric,,FALSE
f024,24,X,Demographic profile,Type of congregate settings,"Dropdown to be provided for each of the congregate settings (urban slum, workplace, prison, orphanage etc.)",,TBMBA Microplan formats,category_breakdown,,FALSE
f025,25,Y,Demographic profile,Total population of congregate settings,Respective congregate settings population to be pooled as per column X,,TBMBA Microplan formats,category_total,,FALSE
